Id,Weekly_Sales
1_1_2012-11-02,25989.599800000015
1_1_2012-11-09,21354.522399999998
1_1_2012-11-16,20662.15580000001
1_1_2012-11-23,20945.283400000008
1_1_2012-11-30,23471.897700000023
1_1_2012-12-07,37630.01029999999
1_1_2012-12-14,32580.369600000005
1_1_2012-12-21,53006.69670000004
1_1_2012-12-28,22139.026600000005
1_1_2013-01-04,18774.477499999975
1_1_2013-01-11,18066.44199999997
1_1_2013-01-18,18291.305099999994
1_1_2013-01-25,18099.25759999999
1_1_2013-02-01,33384.98870000005
1_1_2013-02-08,36314.435500000065
1_1_2013-02-15,29700.484300000044
1_1_2013-02-22,25600.30730000003
1_1_2013-03-01,24144.458199999997
1_1_2013-03-08,22602.053499999987
1_1_2013-03-15,22642.97299999997
1_1_2013-03-22,28760.04909999998
1_1_2013-03-29,24535.4119
1_1_2013-04-05,29970.356399999997
1_1_2013-04-12,37182.54080000002
1_1_2013-04-19,21830.111500000003
1_1_2013-04-26,22438.222500000014
1_1_2013-05-03,18525.694600000003
1_1_2013-05-10,24185.71209999997
1_1_2013-05-17,34763.611600000004
1_1_2013-05-24,30013.223000000045
1_1_2013-05-31,17957.314500000026
1_1_2013-06-07,21895.384100000043
1_1_2013-06-14,31096.993200000063
1_1_2013-06-21,30998.815600000005
1_1_2013-06-28,25520.067200000034
1_1_2013-07-05,28925.9877
1_1_2013-07-12,24053.496100000008
1_1_2013-07-19,21868.513900000016
1_1_2013-07-26,16400.52
1_2_2012-11-02,47637.02550000001
1_2_2012-11-09,48149.96419999999
1_2_2012-11-16,45871.20550000003
1_2_2012-11-23,43458.59159999997
1_2_2012-11-30,48408.2612
1_2_2012-12-07,51372.28229999998
1_2_2012-12-14,51505.89699999998
1_2_2012-12-21,56059.441499999986
1_2_2012-12-28,42425.669400000006
1_2_2013-01-04,42605.35859999995
1_2_2013-01-11,44096.62169999998
1_2_2013-01-18,42997.13429999995
1_2_2013-01-25,43259.8061
1_2_2013-02-01,50403.2266
1_2_2013-02-08,52453.93360000001
1_2_2013-02-15,51235.71830000004
1_2_2013-02-22,51645.60510000001
1_2_2013-03-01,49276.328900000015
1_2_2013-03-08,44931.14529999997
1_2_2013-03-15,46657.59850000002
1_2_2013-03-22,49101.974799999974
1_2_2013-03-29,47667.03479999999
1_2_2013-04-05,48635.3253
1_2_2013-04-12,46198.87359999998
1_2_2013-04-19,46067.34359999995
1_2_2013-04-26,47324.042200000025
1_2_2013-05-03,45675.82
1_2_2013-05-10,47426.73559999997
1_2_2013-05-17,51517.35619999993
1_2_2013-05-24,47889.05679999998
1_2_2013-05-31,45806.6947
1_2_2013-06-07,46008.47459999998
1_2_2013-06-14,50238.11609999995
1_2_2013-06-21,49815.08359999997
1_2_2013-06-28,48494.05849999994
1_2_2013-07-05,48447.347699999984
